type;size;time;cluster;mark;model
parallel;5000;112.663332462311;2;DELL;5547
parallel;6000;131.242725610733;2;DELL;5547
parallel;7000;165.451025247574;2;DELL;5547
parallel;8000;186.084686040878;2;DELL;5547
parallel;9000;193.278451681137;2;DELL;5547
parallel;10000;276.104341745377;2;DELL;5547
parallel;1000;44.1506106853485;4;DELL;5547
parallel;2000;88.2172281742096;4;DELL;5547
parallel;3000;134.032072067261;4;DELL;5547
parallel;4000;177.745965719223;4;DELL;5547
parallel;5000;216.042138338089;4;DELL;5547
parallel;6000;259.020167589188;4;DELL;5547
parallel;7000;272.049818515778;4;DELL;5547
parallel;8000;303.77508187294;4;DELL;5547
parallel;9000;341.563334941864;4;DELL;5547
parallel;10000;345.248017072678;4;DELL;5547
parallel;1000;49.280609369278;6;DELL;5547
parallel;2000;73.3156456947327;6;DELL;5547
parallel;3000;102.741229772568;6;DELL;5547
parallel;4000;173.801728010178;6;DELL;5547
parallel;5000;201.252749919891;6;DELL;5547
parallel;6000;218.953018665314;6;DELL;5547
parallel;7000;261.090891122818;6;DELL;5547
parallel;8000;243.424035549164;6;DELL;5547
parallel;9000;315.846006631851;6;DELL;5547
parallel;10000;392.885710716248;6;DELL;5547
